# stan_version_major = 2
# stan_version_minor = 17
# stan_version_patch = 1
# model = OBTL_model_model
# method = sample (Default)
#   sample
#     num_samples = 50
#     num_warmup = 50
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = /scratch/user/karb1367/OBTL_MCMC/demo/temp.data.R
# init = 2 (Default)
# random
#   seed = 209931
# output
#   file = output-1.csv
#   diagnostic_file =  (Default)
#   refresh = 5
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,c1_mu.1,c1_mu.2,c2_mu.1,c2_mu.2,z_mu.1,z_mu.2,c1_r.1,c1_r.2,c2_r.1,c2_r.2,z_r.1,z_r.2,A_mu.1.1.1,A_mu.2.1.1,A_mu.1.2.1,A_mu.2.2.1,A_mu.1.1.2,A_mu.2.1.2,A_mu.1.2.2,A_mu.2.2.2,A_r.1.1.1,A_r.2.1.1,A_r.1.2.1,A_r.2.2.1,A_r.1.1.2,A_r.2.1.2,A_r.1.2.2,A_r.2.2.2,MU.1.1.1,MU.2.1.1,MU.1.2.1,MU.2.2.1,MU.1.1.2,MU.2.1.2,MU.1.2.2,MU.2.2.2,R.1.1.1,R.2.1.1,R.1.2.1,R.2.2.1,R.1.1.2,R.2.1.2,R.1.2.2,R.2.2.2,mu_t.1,mu_t.2,mu_s.1,mu_s.2,r_t.1,r_t.2,r_s.1,r_s.2
# Adaptation terminated
# Step size = 0.187433
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
2803.88,0.933909,0.187433,4,15,0,-2796.39,7.56896,9.65487,6.82748,9.59587,0.673132,0.8801,4.99804,1.91666,0.82192,1.62756,1.3482,0.194272,2.75117,3.10723,0.673132,0.8801,0,0,2.61294,3.09772,2.23563,1.38443,1.3482,0.194272,0,0,0.906598,1.27576,75.6896,96.5487,77.6617,100.242,77.6617,100.242,86.5126,113.672,4.99804,1.91666,5.6947,1.90336,5.6947,1.90336,6.57064,2.0529,75.6896,96.5487,86.5126,113.672,4.99804,1.91666,6.57064,2.0529
2803.14,0.671617,0.187433,4,15,0,-2793.03,7.85397,6.64818,1.77215,1.97713,0.012866,0.844403,2.77103,1.75146,8.31661,6.3435,-2.16565,-0.385958,2.80249,2.57841,0.012866,0.844403,0,0,1.33122,1.40611,1.66464,1.32343,-2.16565,-0.385958,0,0,2.88385,2.51863,78.5397,66.4818,74.6233,69.9551,74.6233,69.9551,72.6743,75.5871,2.77103,1.75146,1.48882,1.50006,1.48882,1.50006,1.63157,1.91909,78.5397,66.4818,72.6743,75.5871,2.77103,1.75146,1.63157,1.91909
2804.36,0.931999,0.187433,4,15,0,-2796.02,6.65333,5.569,4.9794,5.67746,1.95247,2.5714,5.78189,14.2195,1.66651,1.28056,-0.406874,-0.585576,2.5794,2.35987,1.95247,2.5714,0,0,2.23146,2.38274,2.40456,3.77087,-0.406874,-0.585576,0,0,1.29093,1.13162,66.5333,55.69,79.0449,72.0214,79.0449,72.0214,98.8888,98.8197,5.78189,14.2195,5.1758,12.7915,5.1758,12.7915,4.7999,11.635,66.5333,55.69,98.8888,98.8197,5.78189,14.2195,4.7999,11.635
2803.6,0.685463,0.187433,4,31,0,-2797.97,6.29499,4.51033,4.93239,5.38822,2.03991,2.41795,4.79553,11.6502,2.40033,1.33641,-0.245467,-0.344019,2.50898,2.12375,2.03991,2.41795,0,0,2.2209,2.32125,2.18987,3.41325,-0.245467,-0.344019,0,0,1.5493,1.15603,62.9499,45.1033,75.9044,59.0275,75.9044,59.0275,96.4571,82.6385,4.79553,11.6502,4.37945,10.6811,4.37945,10.6811,4.23951,9.92616,62.9499,45.1033,96.4571,82.6385,4.79553,11.6502,4.23951,9.92616
2805.18,0.964397,0.187433,4,15,0,-2798.46,6.35867,10.345,4.50203,1.60089,0.401967,1.52159,2.12977,1.79638,4.98649,8.19254,0.28195,-0.474667,2.52164,3.21637,0.401967,1.52159,0,0,2.1218,1.26526,1.45937,1.34029,0.28195,-0.474667,0,0,2.23305,2.86226,63.5867,103.45,63.529,113.618,63.529,113.618,67.9734,126.385,2.12977,1.79638,2.15059,1.50301,2.15059,1.50301,2.67027,2.07681,63.5867,103.45,67.9734,126.385,2.12977,1.79638,2.67027,2.07681
2805.07,0.963555,0.187433,4,15,0,-2798.39,5.65251,9.38472,2.84684,3.28307,1.70791,0.841701,7.89674,4.44605,0.68091,0.965977,0.895658,0.479536,2.3775,3.06345,1.70791,0.841701,0,0,1.68726,1.81192,2.81011,2.10856,0.895658,0.479536,0,0,0.825172,0.982841,56.5251,93.8472,66.465,97.1853,66.465,97.1853,80.9997,103.925,7.89674,4.44605,8.28742,4.53764,8.28742,4.53764,8.76552,4.72771,56.5251,93.8472,80.9997,103.925,7.89674,4.44605,8.76552,4.72771
